title,recommended_genres
Destiny Turns on the Radio (1995),['Drama']
Death and the Maiden (1994),['Drama']
Dolores Claiborne (1994),[]
Dumb & Dumber (1994),[]
Eat Drink Man Woman (1994),['Drama']
Exotica (1994),[]
Exit to Eden (1994),['Drama']
Ed Wood (1994),"['Comedy', 'Drama']"
French Kiss (1995),['Comedy']
Forget Paris (1995),[]
Far From Home: The Adventures of Yellow Dog (1995),[]
"Goofy Movie, A (1995)","[""Children's""]"
Hideaway (1995),['Drama']
Fluke (1995),['Drama']
Farinelli: il castrato (1994),['Drama']
Gordy (1995),['Drama']
Gumby: The Movie (1995),"[""Children's""]"
"Glass Shield, The (1994)",[]
Hoop Dreams (1994),['Drama']
Heavenly Creatures (1994),[]
Houseguest (1994),[]
Immortal Beloved (1994),['Drama']
Heavyweights (1994),[]
"Hunted, The (1995)",[]
I.Q. (1994),[]
Interview with the Vampire (1994),['Comedy']
Jefferson in Paris (1995),['Comedy']
"Jerky Boys, The (1994)",['Drama']
Junior (1994),[]
Just Cause (1995),['Comedy']
"Kid in King Arthur's Court, A (1995)",['Comedy']
Kiss of Death (1995),['Drama']
Star Wars: Episode IV - A New Hope (1977),"['Action', 'Adventure', 'Sci-Fi']"
Little Women (1994),['Comedy']
"Little Princess, A (1995)",[]
Ladybird Ladybird (1994),[]
"Enfer, L' (1994)",[]
Like Water for Chocolate (Como agua para chocolate) (1992),"['Comedy', 'Drama']"
Legends of the Fall (1994),['Drama']
Major Payne (1994),[]
Little Odessa (1994),['Comedy']
My Crazy Life (Mi vida loca) (1993),"['Comedy', 'Drama']"
Love Affair (1994),"['Drama', 'Romance']"
Losing Isaiah (1995),['Drama']
"Madness of King George, The (1994)",['Drama']
Mary Shelley's Frankenstein (1994),['Horror']
Man of the House (1995),[]
Mixed Nuts (1994),[]
Milk Money (1994),['Comedy']
Miracle on 34th Street (1994),['Drama']
Miami Rhapsody (1995),['Drama']
My Family (1995),['Comedy']
Murder in the First (1995),[]
Nobody's Fool (1994),['Comedy']
Nell (1994),['Drama']
New Jersey Drive (1995),['Drama']
New York Cop (1996),['Action']
Beyond Bedlam (1993),['Drama']
Nemesis 2: Nebula (1995),['Drama']
Nina Takes a Lover (1994),['Comedy']
Natural Born Killers (1994),['Drama']
Only You (1994),['Comedy']
Once Were Warriors (1994),['Drama']
Poison Ivy II (1995),[]
Outbreak (1995),['Drama']
"Professional, The (a.k.a. Leon: The Professional) (1994)",[]
"Perez Family, The (1995)",['Comedy']
"Pyromaniac's Love Story, A (1995)","['Comedy', 'Drama', 'Romance']"
Pulp Fiction (1994),[]
Panther (1995),['Drama']
Pushing Hands (1992),[]
Priest (1994),[]
Quiz Show (1994),['Drama']
Picture Bride (1995),[]
Queen Margot (La Reine Margot) (1994),['Drama']
"Quick and the Dead, The (1995)",[]
Roommates (1995),['Drama']
Ready to Wear (Pret-A-Porter) (1994),['Comedy']
Three Colors: Red (1994),['Drama']
Three Colors: Blue (1993),['Drama']
Three Colors: White (1994),['Drama']
"Red Firecracker, Green Firecracker (1994)",['Drama']
Rent-a-Kid (1995),['Comedy']
Relative Fear (1994),[]
Stuart Saves His Family (1995),['Comedy']
"Swan Princess, The (1994)",[]
"Secret of Roan Inish, The (1994)",['Drama']
"Specialist, The (1994)",[]
Stargate (1994),[]
"Santa Clause, The (1994)",['Comedy']
"Shawshank Redemption, The (1994)",[]
Shallow Grave (1994),[]
Suture (1993),['Drama']
Strawberry and Chocolate (Fresa y chocolate) (1993),['Drama']
Swimming with Sharks (1995),['Drama']
"Sum of Us, The (1994)",['Comedy']
National Lampoon's Senior Trip (1995),[]
To Live (Huozhe) (1994),['Drama']
Tank Girl (1995),['Drama']
Tales From the Crypt Presents: Demon Knight (1995),['Horror']
Star Trek: Generations (1994),"['Action', 'Adventure', 'Sci-Fi']"
Tales from the Hood (1995),['Horror']
Tom & Viv (1994),[]
Village of the Damned (1995),['Horror']
Tommy Boy (1995),['Drama']
Vanya on 42nd Street (1994),['Drama']
"Underneath, The (1995)",['Drama']
"Walking Dead, The (1995)",['Drama']
What's Eating Gilbert Grape (1993),['Drama']
Virtuosity (1995),['Drama']
While You Were Sleeping (1995),"['Comedy', 'Romance']"
"War, The (1994)",[]
Double Happiness (1994),[]
Muriel's Wedding (1994),['Comedy']
"Baby-Sitters Club, The (1995)",[]
Ace Ventura: Pet Detective (1994),['Comedy']
"Adventures of Priscilla, Queen of the Desert, The (1994)",['Drama']
Backbeat (1993),['Drama']
Bitter Moon (1992),['Drama']
Bullets Over Broadway (1994),['Comedy']
Clear and Present Danger (1994),['Comedy']
"Client, The (1994)",[]
"Corrina, Corrina (1994)",[]
Crooklyn (1994),[]
"Crow, The (1994)",['Action']
Cobb (1994),[]
"Flintstones, The (1994)",[]
Forrest Gump (1994),[]
Four Weddings and a Funeral (1994),['Drama']
Higher Learning (1995),['Drama']
I Like It Like That (1994),['Comedy']
I Love Trouble (1994),['Comedy']
It Could Happen to You (1994),"['Comedy', 'Romance']"
"Jungle Book, The (1994)","[""Children's"", 'Comedy']"
"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",['Drama']
"Lion King, The (1994)",['Drama']
Little Buddha (1993),[]
Wes Craven's New Nightmare (1994),['Horror']
"Mask, The (1994)",[]
Maverick (1994),[]
Mrs. Parker and the Vicious Circle (1994),['Drama']
Naked Gun 33 1/3: The Final Insult (1994),[]
"Paper, The (1994)",[]
Reality Bites (1994),[]
Red Rock West (1992),[]
Richie Rich (1994),['Comedy']
Safe Passage (1994),[]
"River Wild, The (1994)",['Drama']
Speed (1994),[]
Speechless (1994),[]
Timecop (1994),[]
True Lies (1994),['Drama']
When a Man Loves a Woman (1994),['Drama']
Wolf (1994),['Horror']
Wyatt Earp (1994),[]
Bad Company (1995),[]
"Man of No Importance, A (1994)",['Drama']
S.F.W. (1994),[]
"Low Down Dirty Shame, A (1994)",['Comedy']
Boys Life (1995),['Drama']
"Colonel Chabert, Le (1994)",['Drama']
Faster Pussycat! Kill! Kill! (1965),[]
Jason's Lyric (1994),['Drama']
"Secret Adventures of Tom Thumb, The (1993)",[]
Street Fighter (1994),[]
Coldblooded (1995),['Drama']
Desert Winds (1995),['Drama']
Fall Time (1995),['Drama']
"Fear, The (1995)",[]
Frank and Ollie (1995),[]
Girl in the Cadillac (1995),['Comedy']
Homage (1995),['Drama']
Mirage (1995),['Drama']
Open Season (1996),[]
Two Crimes (1995),"['Comedy', 'Drama']"
Brother Minister: The Assassination of Malcolm X (1994),['Drama']
Highlander III: The Sorcerer (1994),['Action']
Federal Hill (1994),[]
In the Mouth of Madness (1995),[]
8 Seconds (1994),['Drama']
Above the Rim (1994),['Drama']
Addams Family Values (1993),['Comedy']
You So Crazy (1994),"['Comedy', 'Romance']"
"Age of Innocence, The (1993)",['Drama']
Airheads (1994),[]
"Air Up There, The (1994)",['Comedy']
Another Stakeout (1993),['Drama']
Bad Girls (1994),[]
Barcelona (1994),[]
Being Human (1993),['Drama']
"Beverly Hillbillies, The (1993)",['Comedy']
Beverly Hills Cop III (1994),"['Action', 'Comedy']"
Black Beauty (1994),[]
Blink (1994),[]
Blown Away (1994),['Drama']
Blue Chips (1994),['Drama']
Blue Sky (1994),['Drama']
Body Snatchers (1993),"['Horror', 'Sci-Fi']"
Boxing Helena (1993),['Drama']
"Bronx Tale, A (1993)",[]
Cabin Boy (1994),['Drama']
Calendar Girl (1993),['Drama']
Carlito's Way (1993),['Drama']
City Slickers II: The Legend of Curly's Gold (1994),[]
Clean Slate (1994),['Comedy']
Cliffhanger (1993),['Drama']
Coneheads (1993),['Drama']
Color of Night (1994),['Drama']
Cops and Robbersons (1994),['Comedy']
"Cowboy Way, The (1994)",['Drama']
Dangerous Game (1993),['Drama']
Dave (1993),['Drama']
Dazed and Confused (1993),[]
Demolition Man (1993),[]
"Endless Summer 2, The (1994)",[]
Even Cowgirls Get the Blues (1993),['Comedy']
Fatal Instinct (1993),[]
Farewell My Concubine (1993),['Drama']
"Favor, The (1994)",[]
Fearless (1993),['Drama']
Fear of a Black Hat (1993),[]
With Honors (1994),"['Comedy', 'Drama']"
Flesh and Bone (1993),['Drama']
Widows' Peak (1994),[]
For Love or Money (1993),['Comedy']
"Firm, The (1993)",['Drama']
Free Willy (1993),[]
Fresh (1994),[]
"Fugitive, The (1993)",['Drama']
Geronimo: An American Legend (1993),['Drama']
"Getaway, The (1994)",[]
Getting Even with Dad (1994),['Comedy']
Go Fish (1994),['Drama']
"Good Man in Africa, A (1994)",['Drama']
Guilty as Sin (1993),['Drama']
Hard Target (1993),['Action']
Heaven & Earth (1993),['Drama']
Hot Shots! Part Deux (1993),['Comedy']
Live Nude Girls (1995),['Drama']
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",['Comedy']
"House of the Spirits, The (1993)",[]
House Party 3 (1994),['Comedy']
"Hudsucker Proxy, The (1994)",[]
I'll Do Anything (1994),"['Comedy', 'Drama']"
In the Army Now (1994),['Comedy']
In the Line of Fire (1993),['Drama']
In the Name of the Father (1993),['Drama']
"Inkwell, The (1994)",[]
What's Love Got to Do with It? (1993),"['Comedy', 'Drama']"
Jimmy Hollywood (1994),['Comedy']
Judgment Night (1993),[]
Jurassic Park (1993),[]
Kalifornia (1993),['Drama']
Killing Zoe (1994),['Drama']
King of the Hill (1993),['Drama']
Lassie (1994),[]
Last Action Hero (1993),['Drama']
Life with Mikey (1993),['Drama']
Lightning Jack (1994),['Comedy']
M. Butterfly (1993),['Drama']
Made in America (1993),[]
Malice (1993),['Drama']
"Man Without a Face, The (1993)",['Drama']
Manhattan Murder Mystery (1993),['Comedy']
Menace II Society (1993),['Drama']
Executive Decision (1996),[]
In the Realm of the Senses (Ai no corrida) (1976),['Drama']
What Happened Was... (1994),['Drama']
Much Ado About Nothing (1993),['Comedy']
Mr. Jones (1993),[]
Mr. Wonderful (1993),"['Comedy', 'Drama']"
Mrs. Doubtfire (1993),['Drama']
Naked (1993),['Drama']
"Next Karate Kid, The (1994)",['Drama']
"New Age, The (1994)",[]
No Escape (1994),['Action']
North (1994),"['Comedy', 'Drama']"
Orlando (1993),['Drama']
"Perfect World, A (1993)",[]
Philadelphia (1993),['Drama']
"Piano, The (1993)",['Drama']
Poetic Justice (1993),['Drama']
"Program, The (1993)",['Drama']
Robert A. Heinlein's The Puppet Masters (1994),"['Horror', 'Sci-Fi']"
Radioland Murders (1994),[]
"Ref, The (1994)",[]
"Remains of the Day, The (1993)",[]
Renaissance Man (1994),[]
Rising Sun (1993),['Drama']
"Road to Wellville, The (1994)",[]
Robocop 3 (1993),"['Action', 'Sci-Fi']"
Robin Hood: Men in Tights (1993),[]
Romeo Is Bleeding (1993),['Drama']
Romper Stomper (1992),[]
Ruby in Paradise (1993),['Drama']
Rudy (1993),['Drama']
"Saint of Fort Washington, The (1993)",['Drama']
"Savage Nights (Nuits fauves, Les) (1992)",['Drama']
Schindler's List (1993),['Drama']
"Scout, The (1994)",[]
Searching for Bobby Fischer (1993),[]
Second Best (1994),[]
"Secret Garden, The (1993)",['Drama']
Serial Mom (1994),"['Comedy', 'Horror']"
"Shadow, The (1994)",[]
Shadowlands (1993),['Drama']
Short Cuts (1993),['Drama']
"Simple Twist of Fate, A (1994)",['Drama']
Sirens (1994),[]
Six Degrees of Separation (1993),['Drama']
Sleepless in Seattle (1993),['Comedy']
Sliver (1993),['Drama']
Blade Runner (1982),[]
Son in Law (1993),['Comedy']
So I Married an Axe Murderer (1993),['Comedy']
Striking Distance (1993),['Drama']
Harlem (1993),['Drama']
Super Mario Bros. (1993),['Drama']
Surviving the Game (1994),[]
Terminal Velocity (1994),['Comedy']
Thirty-Two Short Films About Glenn Gould (1993),['Drama']
Threesome (1994),[]
"Nightmare Before Christmas, The (1993)",[]
"Three Musketeers, The (1993)",[]
Tombstone (1993),['Drama']
Trial by Jury (1994),['Drama']
True Romance (1993),[]
"War Room, The (1993)",['Drama']
Mamma Roma (1962),[]
"Pagemaster, The (1994)",[]
"Paris, France (1993)",[]
"Beans of Egypt, Maine, The (1994)",['Drama']
Killer (Bulletproof Heart) (1994),[]
Welcome to the Dollhouse (1995),['Drama']
Germinal (1993),['Drama']
Chasers (1994),[]
Cronos (1992),[]
Naked in New York (1994),['Comedy']
Kika (1993),['Drama']
Bhaji on the Beach (1993),[]
Little Big League (1994),['Comedy']
"Slingshot, The (Kådisbellan ) (1993)",['Drama']
"Wedding Gift, The (1994)",['Comedy']
Foreign Student (1994),[]
"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",['Drama']
Spanking the Monkey (1994),[]
"Little Rascals, The (1994)",['Comedy']
Fausto (1993),['Drama']
Andre (1994),[]
"Hour of the Pig, The (1993)",['Drama']
"Scorta, La (1993)",['Drama']
Princess Caraboo (1994),[]
"Celluloid Closet, The (1995)",['Drama']
Metisse (Café au Lait) (1993),['Drama']
Dear Diary (Caro Diario) (1994),['Drama']
I Don't Want to Talk About It (De eso no se habla) (1993),['Drama']
"Brady Bunch Movie, The (1995)","[""Children's""]"
Home Alone (1990),['Comedy']
Ghost (1990),[]
Aladdin (1992),[]
Terminator 2: Judgment Day (1991),['Comedy']
Dances with Wolves (1990),[]
Tough and Deadly (1995),['Drama']
Batman (1989),['Action']
"Silence of the Lambs, The (1991)",['Drama']
Snow White and the Seven Dwarfs (1937),['Drama']
Beauty and the Beast (1991),[]
Pinocchio (1940),[]
Pretty Woman (1990),"['Comedy', 'Drama']"
Window to Paris (1994),['Comedy']
"Wild Bunch, The (1969)",[]
Love and a .45 (1994),"['Comedy', 'Romance']"
"Wooden Man's Bride, The (Wu Kui) (1994)",[]
"Great Day in Harlem, A (1994)",[]
"Bye Bye, Love (1995)",[]
Criminals (1996),['Drama']
One Fine Day (1996),['Drama']
Candyman: Farewell to the Flesh (1995),[]
Century (1993),['Drama']
Fargo (1996),['Drama']
Homeward Bound II: Lost in San Francisco (1996),[]
Heavy Metal (1981),['Action']
Hellraiser: Bloodline (1996),['Horror']
"Pallbearer, The (1996)",[]
Jane Eyre (1996),['Drama']
Loaded (1994),[]
Bread and Chocolate (Pane e cioccolata) (1973),['Drama']
"Aristocats, The (1970)",[]
"Flower of My Secret, The (La Flor de Mi Secreto) (1995)",['Drama']
Two Much (1996),['Comedy']
Ed (1996),['Comedy']
Scream of Stone (Schrei aus Stein) (1991),[]
My Favorite Season (1993),['Comedy']
"Modern Affair, A (1995)",['Drama']
Condition Red (1995),['Drama']
Asfour Stah (1990),[]
"Thin Line Between Love and Hate, A (1996)",[]
"Last Supper, The (1995)",['Drama']
Primal Fear (1996),[]
Rude (1995),['Drama']
Carried Away (1996),['Drama']
All Dogs Go to Heaven 2 (1996),['Drama']
Land and Freedom (Tierra y libertad) (1995),['Drama']
Denise Calls Up (1995),[]
Theodore Rex (1995),['Drama']
"Family Thing, A (1996)",['Comedy']
Frisk (1995),['Drama']
Sgt. Bilko (1996),['Drama']
Jack and Sarah (1995),['Comedy']
Girl 6 (1996),['Drama']
Diabolique (1996),['Drama']
"Little Indian, Big City (Un indien dans la ville) (1994)","['Comedy', 'Drama']"
Roula (1995),['Drama']
Peanuts - Die Bank zahlt alles (1996),[]
Happy Weekend (1996),['Comedy']
Nelly & Monsieur Arnaud (1995),['Drama']
Courage Under Fire (1996),['Drama']
Mission: Impossible (1996),['Action']
Cold Fever (Á köldum klaka) (1994),"['Comedy', 'Drama']"
Moll Flanders (1996),['Drama']
"Superweib, Das (1996)",[]
"301, 302 (1995)",['Drama']
Dragonheart (1996),['Drama']
Und keiner weint mir nach (1996),['Drama']
Mutters Courage (1995),[]
Eddie (1996),['Drama']
Yankee Zulu (1994),[]
Billy's Holiday (1995),"['Comedy', 'Drama']"
Purple Noon (1960),['Drama']
August (1996),['Drama']
James and the Giant Peach (1996),[]
Fear (1996),[]
Kids in the Hall: Brain Candy (1996),['Comedy']
Faithful (1996),['Drama']
Underground (1995),['Drama']
All Things Fair (1996),['Drama']
Bloodsport 2 (1995),['Drama']
Pather Panchali (1955),['Drama']
Aparajito (1956),[]
"World of Apu, The (Apur Sansar) (1959)",[]
Mystery Science Theater 3000: The Movie (1996),['Comedy']
Tarantella (1995),['Drama']
Space Jam (1996),[]
Barbarella (1968),[]
Hostile Intentions (1994),['Drama']
They Bite (1996),['Drama']
Some Folks Call It a Sling Blade (1993),['Drama']
"Run of the Country, The (1995)",['Drama']
Alphaville (1965),[]
Clean Slate (Coup de Torchon) (1981),[]
Tigrero: A Film That Was Never Made (1994),['Drama']
"Eye of Vichy, The (Oeil de Vichy, L') (1993)",[]
Windows (1980),['Drama']
It's My Party (1995),['Comedy']
Country Life (1994),['Drama']
Operation Dumbo Drop (1995),"['Action', 'Comedy']"
"Promise, The (Versprechen, Das) (1994)",[]
Mrs. Winterbourne (1996),"['Comedy', 'Drama']"
Solo (1996),['Drama']
Under the Domin Tree (Etz Hadomim Tafus) (1994),['Drama']
"Substitute, The (1996)",[]
True Crime (1995),[]
Butterfly Kiss (1995),[]
Feeling Minnesota (1996),['Drama']
Delta of Venus (1994),['Drama']
To Cross the Rubicon (1991),['Drama']
Angus (1995),['Drama']
Daens (1992),[]
Faces (1968),['Drama']
Boys (1996),['Drama']
"Quest, The (1996)",['Adventure']
Cosi (1996),['Drama']
Sunset Park (1996),[]
Mulholland Falls (1996),['Drama']
"Truth About Cats & Dogs, The (1996)",['Comedy']
Oliver & Company (1988),[]
Celtic Pride (1996),['Drama']
Flipper (1996),['Drama']
Captives (1994),[]
Of Love and Shadows (1994),['Drama']
Dead Man (1995),[]
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",['Drama']
Switchblade Sisters (1975),['Drama']
Mouth to Mouth (Boca a boca) (1995),[]
"Visitors, The (Les Visiteurs) (1993)",['Drama']
Multiplicity (1996),['Drama']
Wallace & Gromit: The Best of Aardman Animation (1996),['Drama']
Halfmoon (Paul Bowles - Halbmond) (1995),['Drama']
"Haunted World of Edward D. Wood Jr., The (1995)",['Drama']
Two Friends (1986),['Drama']
"Craft, The (1996)",[]
"Great White Hype, The (1996)",[]
Last Dance (1996),['Drama']
War Stories (1995),[]
Cold Comfort Farm (1995),['Comedy']
"Institute Benjamenta, or This Dream People Call Human Life (1995)",['Drama']
"Low Life, The (1994)",['Drama']
Heaven's Prisoners (1996),[]
Original Gangstas (1996),['Drama']
"Rock, The (1996)",[]
Getting Away With Murder (1996),['Drama']
Cemetery Man (Dellamorte Dellamore) (1994),[]
Twister (1996),['Drama']
Barb Wire (1996),['Drama']
"Garcu, Le (1995)",['Drama']
Honigmond (1996),['Drama']
Ghost in the Shell (Kokaku kidotai) (1995),[]
Thinner (1996),['Drama']
Spy Hard (1996),['Comedy']
Brothers in Trouble (1995),['Comedy']
"Close Shave, A (1995)",['Drama']
Force of Evil (1948),[]
"Stupids, The (1996)",[]
"Arrival, The (1996)",[]
"Man from Down Under, The (1943)",[]
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),['Comedy']
Careful (1992),[]
Vermont Is For Lovers (1992),"['Comedy', 'Drama', 'Romance']"
"Month by the Lake, A (1995)",['Drama']
Gold Diggers: The Secret of Bear Mountain (1995),[]
Kim (1950),[]
Carmen Miranda: Bananas Is My Business (1994),['Drama']
Ashes of Time (1994),['Drama']
"Jar, The (Khomreh) (1992)",[]
Maya Lin: A Strong Clear Vision (1994),[]
Stalingrad (1993),['Drama']
"Phantom, The (1996)",['Drama']
Striptease (1996),['Drama']
"Last of the High Kings, The (a.k.a. Summer Fling) (1996)",['Drama']
Heavy (1995),['Drama']
Jack (1996),['Comedy']
I Shot Andy Warhol (1996),['Drama']
