title,recommended_genres,true_genres
Taxi Driver (1976),['Horror'],"['Drama', 'Thriller']"
Rumble in the Bronx (1995),[],"['Action', 'Adventure', 'Crime']"
Before and After (1996),"['Drama', 'Mystery']","['Drama', 'Mystery']"
Margaret's Museum (1995),['Drama'],['Drama']
Happiness Is in the Field (1995),['Comedy'],['Comedy']
Anne Frank Remembered (1995),['Drama'],['Documentary']
"Young Poisoner's Handbook, The (1995)",[],['Crime']
If Lucy Fell (1996),"['Comedy', 'Romance']","['Comedy', 'Romance']"
"Steal Big, Steal Little (1995)",['Comedy'],['Comedy']
Race the Sun (1996),['Drama'],['Drama']
"Boys of St. Vincent, The (1993)",['Drama'],['Drama']
Boomerang (1992),[],"['Comedy', 'Romance']"
Chungking Express (1994),"['Drama', 'Romance']","['Drama', 'Mystery', 'Romance']"
"Star Maker, The (Uomo delle stelle, L') (1995)",['Drama'],['Drama']
Flirting With Disaster (1996),['Comedy'],['Comedy']
"NeverEnding Story III, The (1994)","['Adventure', ""Children's"", 'Fantasy']","['Adventure', ""Children's"", 'Fantasy']"
"Silence of the Palace, The (Saimt el Qusur) (1994)",['Drama'],['Drama']
Jupiter's Wife (1994),['Comedy'],['Documentary']
Pie in the Sky (1995),['Drama'],"['Comedy', 'Romance']"
Angela (1995),['Drama'],['Drama']
Frankie Starlight (1995),['Drama'],"['Drama', 'Romance']"
Jade (1995),['Drama'],['Thriller']
Nueba Yol (1995),['Drama'],"['Comedy', 'Drama']"
Sonic Outlaws (1995),['Drama'],['Documentary']
Down Periscope (1996),['Drama'],['Comedy']
From the Journals of Jean Seberg (1995),['Documentary'],['Documentary']
Man of the Year (1995),"['Documentary', 'Drama']",['Documentary']
"Neon Bible, The (1995)",['Drama'],['Drama']
Target (1995),['Drama'],"['Action', 'Drama']"
Up Close and Personal (1996),['Comedy'],"['Drama', 'Romance']"
"Birdcage, The (1996)",[],['Comedy']
Shadows (Cienie) (1988),['Drama'],['Drama']
Gospa (1995),['Drama'],['Drama']
"Brothers McMullen, The (1995)",['Comedy'],['Comedy']
Bad Boys (1995),[],['Action']
"Amazing Panda Adventure, The (1995)",['Adventure'],"['Adventure', ""Children's""]"
"Basketball Diaries, The (1995)","['Drama', 'Romance']",['Drama']
"Awfully Big Adventure, An (1995)",['Comedy'],['Drama']
Amateur (1994),[],"['Crime', 'Drama', 'Thriller']"
Apollo 13 (1995),['Drama'],['Drama']
Rob Roy (1995),['Drama'],"['Drama', 'Romance', 'War']"
"Addiction, The (1995)",['Drama'],['Horror']
Batman Forever (1995),"['Action', 'Adventure', 'Comedy', 'Crime']","['Action', 'Adventure', 'Comedy', 'Crime']"
Belle de jour (1967),['Drama'],['Drama']
Beyond Rangoon (1995),['Drama'],"['Drama', 'War']"
Blue in the Face (1995),[],['Comedy']
Canadian Bacon (1994),[],"['Comedy', 'War']"
Casper (1995),['Drama'],"['Adventure', ""Children's""]"
Clockers (1995),['Drama'],['Drama']
Congo (1995),['Drama'],"['Action', 'Adventure', 'Mystery', 'Sci-Fi']"
Crimson Tide (1995),['Drama'],"['Drama', 'Thriller', 'War']"
Crumb (1994),[],['Documentary']
Desperado (1995),['Drama'],"['Action', 'Romance', 'Thriller']"
Devil in a Blue Dress (1995),[],"['Crime', 'Film-Noir', 'Mystery', 'Thriller']"
Die Hard: With a Vengeance (1995),['Action'],"['Action', 'Thriller']"
"Doom Generation, The (1995)","['Comedy', 'Drama']","['Comedy', 'Drama']"
Feast of July (1995),['Drama'],['Drama']
First Knight (1995),['Action'],"['Action', 'Adventure', 'Drama', 'Romance']"
Free Willy 2: The Adventure Home (1995),"['Adventure', ""Children's""]","['Adventure', ""Children's"", 'Drama']"
Hackers (1995),['Drama'],"['Action', 'Crime', 'Thriller']"
Jeffrey (1995),['Drama'],['Comedy']
Johnny Mnemonic (1995),['Drama'],"['Action', 'Sci-Fi', 'Thriller']"
Judge Dredd (1995),['Drama'],"['Action', 'Adventure', 'Sci-Fi']"
Jury Duty (1995),['Comedy'],['Comedy']
Kids (1995),"['Adventure', ""Children's""]",['Drama']
Living in Oblivion (1995),['Comedy'],['Comedy']
Lord of Illusions (1995),"['Adventure', 'Drama']",['Horror']
Love & Human Remains (1993),['Drama'],['Comedy']
Mad Love (1995),[],"['Drama', 'Romance']"
Mallrats (1995),['Drama'],['Comedy']
Mighty Morphin Power Rangers: The Movie (1995),"['Action', ""Children's""]","['Action', ""Children's""]"
Moonlight and Valentino (1995),[],"['Drama', 'Romance']"
Mute Witness (1994),[],['Thriller']
Nadja (1994),[],['Drama']
"Net, The (1995)",['Drama'],"['Sci-Fi', 'Thriller']"
Nine Months (1995),"['Crime', 'Drama']",['Comedy']
Party Girl (1995),['Comedy'],['Comedy']
"Prophecy, The (1995)",['Drama'],['Horror']
Reckless (1995),['Drama'],['Comedy']
Safe (1995),[],['Thriller']
"Scarlet Letter, The (1995)",['Drama'],['Drama']
"Show, The (1995)",['Drama'],['Documentary']
Showgirls (1995),['Drama'],['Drama']
Smoke (1995),"['Comedy', 'Drama']",['Drama']
Something to Talk About (1995),['Comedy'],"['Comedy', 'Drama', 'Romance']"
Species (1995),"['Horror', 'Sci-Fi']","['Horror', 'Sci-Fi']"
"Stars Fell on Henrietta, The (1995)",['Drama'],['Drama']
Strange Days (1995),"['Action', 'Crime', 'Sci-Fi']","['Action', 'Crime', 'Sci-Fi']"
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",['Drama'],"['Drama', 'Musical']"
"Tie That Binds, The (1995)",['Thriller'],['Thriller']
Three Wishes (1995),['Comedy'],['Drama']
Total Eclipse (1995),['Drama'],"['Drama', 'Romance']"
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",['Comedy'],['Comedy']
Under Siege 2: Dark Territory (1995),['Action'],['Action']
Unstrung Heroes (1995),['Comedy'],"['Comedy', 'Drama']"
Unzipped (1995),['Drama'],['Documentary']
"Walk in the Clouds, A (1995)","['Drama', 'Romance']","['Drama', 'Romance']"
Waterworld (1995),['Drama'],"['Action', 'Adventure']"
White Man's Burden (1995),['Drama'],['Drama']
Wild Bill (1995),['Western'],['Western']
"Browning Version, The (1994)",[],['Drama']
Bushwhacked (1995),['Drama'],['Comedy']
Burnt By the Sun (Utomlyonnye solntsem) (1994),['Drama'],['Drama']
Before the Rain (Pred dozhdot) (1994),['Drama'],['Drama']
Before Sunrise (1995),"[""Children's"", 'Comedy']","['Drama', 'Romance']"
Billy Madison (1995),['Drama'],['Comedy']
"Babysitter, The (1995)",['Drama'],"['Drama', 'Thriller']"
Boys on the Side (1995),"['Comedy', 'Drama']","['Comedy', 'Drama']"
"Cure, The (1995)",['Drama'],['Drama']
Castle Freak (1995),['Drama'],['Horror']
Circle of Friends (1995),['Drama'],"['Drama', 'Romance']"
Clerks (1994),[],['Comedy']
Don Juan DeMarco (1995),"['Drama', 'Romance']","['Comedy', 'Drama', 'Romance']"
Disclosure (1994),[],"['Drama', 'Thriller']"
Dream Man (1995),['Drama'],['Thriller']
Drop Zone (1994),[],['Action']
Destiny Turns on the Radio (1995),[],['Comedy']
Death and the Maiden (1994),['Drama'],"['Drama', 'Thriller']"
Dolores Claiborne (1994),[],"['Drama', 'Thriller']"
Dumb & Dumber (1994),[],['Comedy']
Eat Drink Man Woman (1994),['Drama'],"['Comedy', 'Drama']"
Exotica (1994),[],['Drama']
Exit to Eden (1994),['Drama'],['Comedy']
Ed Wood (1994),"['Comedy', 'Drama']","['Comedy', 'Drama']"
French Kiss (1995),"['Comedy', 'Romance']","['Comedy', 'Romance']"
Forget Paris (1995),['Comedy'],"['Comedy', 'Romance']"
Far From Home: The Adventures of Yellow Dog (1995),"['Adventure', ""Children's""]","['Adventure', ""Children's""]"
"Goofy Movie, A (1995)","['Animation', ""Children's""]","['Animation', ""Children's"", 'Comedy', 'Romance']"
Hideaway (1995),['Drama'],['Thriller']
Fluke (1995),['Drama'],"[""Children's"", 'Drama']"
Farinelli: il castrato (1994),['Drama'],"['Drama', 'Musical']"
Gordy (1995),['Drama'],['Comedy']
Gumby: The Movie (1995),"['Animation', ""Children's""]","['Animation', ""Children's""]"
"Glass Shield, The (1994)",[],"['Crime', 'Drama']"
Hoop Dreams (1994),[],['Documentary']
Heavenly Creatures (1994),[],"['Drama', 'Fantasy', 'Romance', 'Thriller']"
Houseguest (1994),[],['Comedy']
Immortal Beloved (1994),['Drama'],"['Drama', 'Romance']"
Heavyweights (1994),[],"[""Children's"", 'Comedy']"
"Hunted, The (1995)",['Action'],['Action']
I.Q. (1994),[],"['Comedy', 'Romance']"
Interview with the Vampire (1994),"['Comedy', 'Horror']","['Drama', 'Horror']"
Jefferson in Paris (1995),['Comedy'],['Drama']
"Jerky Boys, The (1994)",['Drama'],['Comedy']
Junior (1994),[],"['Comedy', 'Sci-Fi']"
Just Cause (1995),"['Comedy', 'Thriller']","['Mystery', 'Thriller']"
"Kid in King Arthur's Court, A (1995)","['Adventure', ""Children's"", 'Comedy', 'Romance']","['Adventure', ""Children's"", 'Comedy', 'Fantasy', 'Romance']"
Kiss of Death (1995),['Thriller'],"['Crime', 'Drama', 'Thriller']"
Star Wars: Episode IV - A New Hope (1977),"['Action', 'Adventure', 'Sci-Fi']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Little Women (1994),"['Comedy', 'Drama']",['Drama']
"Little Princess, A (1995)","[""Children's""]","[""Children's"", 'Drama']"
Ladybird Ladybird (1994),[],['Drama']
"Enfer, L' (1994)",[],['Drama']
Like Water for Chocolate (Como agua para chocolate) (1992),"['Comedy', 'Drama', 'Romance']","['Drama', 'Romance']"
Legends of the Fall (1994),"['Drama', 'Romance']","['Drama', 'Romance', 'War', 'Western']"
Major Payne (1994),[],['Comedy']
Little Odessa (1994),"[""Children's"", 'Comedy', 'Drama']",['Drama']
My Crazy Life (Mi vida loca) (1993),['Drama'],['Drama']
Love Affair (1994),"['Drama', 'Romance']","['Drama', 'Romance']"
Losing Isaiah (1995),['Drama'],['Drama']
"Madness of King George, The (1994)",['Drama'],['Drama']
Mary Shelley's Frankenstein (1994),['Horror'],"['Drama', 'Horror']"
Man of the House (1995),['Comedy'],['Comedy']
Mixed Nuts (1994),[],['Comedy']
Milk Money (1994),"['Action', 'Comedy']","['Comedy', 'Romance']"
Miracle on 34th Street (1994),['Drama'],['Drama']
Miami Rhapsody (1995),['Drama'],['Comedy']
My Family (1995),['Comedy'],['Drama']
Murder in the First (1995),[],"['Drama', 'Thriller']"
Nobody's Fool (1994),"['Comedy', 'Drama']",['Drama']
Nell (1994),['Drama'],['Drama']
New Jersey Drive (1995),"['Crime', 'Drama']","['Crime', 'Drama']"
New York Cop (1996),"['Action', 'Crime']","['Action', 'Crime']"
Beyond Bedlam (1993),['Drama'],"['Drama', 'Horror']"
Nemesis 2: Nebula (1995),['Drama'],"['Action', 'Sci-Fi', 'Thriller']"
Nina Takes a Lover (1994),['Comedy'],"['Comedy', 'Romance']"
Natural Born Killers (1994),"['Action', 'Drama', 'Thriller']","['Action', 'Thriller']"
Only You (1994),"['Comedy', 'Romance']","['Comedy', 'Romance']"
Once Were Warriors (1994),"['Crime', 'Drama']","['Crime', 'Drama']"
Poison Ivy II (1995),['Thriller'],['Thriller']
Outbreak (1995),['Drama'],"['Action', 'Drama', 'Thriller']"
"Professional, The (a.k.a. Leon: The Professional) (1994)",[],"['Crime', 'Drama', 'Romance', 'Thriller']"
"Perez Family, The (1995)",['Comedy'],"['Comedy', 'Romance']"
"Pyromaniac's Love Story, A (1995)","['Comedy', 'Romance']","['Comedy', 'Romance']"
Pulp Fiction (1994),[],"['Crime', 'Drama']"
Panther (1995),['Drama'],['Drama']
Pushing Hands (1992),['Comedy'],['Comedy']
Priest (1994),[],['Drama']
Quiz Show (1994),['Drama'],['Drama']
Picture Bride (1995),"['Comedy', 'Romance']","['Drama', 'Romance']"
Queen Margot (La Reine Margot) (1994),"['Drama', 'Romance']","['Drama', 'Romance']"
"Quick and the Dead, The (1995)",[],"['Action', 'Adventure', 'Western']"
Roommates (1995),['Drama'],"['Comedy', 'Drama']"
Ready to Wear (Pret-A-Porter) (1994),['Comedy'],['Comedy']
Three Colors: Red (1994),['Drama'],['Drama']
Three Colors: Blue (1993),['Drama'],['Drama']
Three Colors: White (1994),['Drama'],['Drama']
"Red Firecracker, Green Firecracker (1994)","['Drama', 'Thriller']",['Drama']
Rent-a-Kid (1995),"[""Children's"", 'Comedy']",['Comedy']
Relative Fear (1994),['Thriller'],"['Horror', 'Thriller']"
Stuart Saves His Family (1995),['Comedy'],['Comedy']
"Swan Princess, The (1994)","[""Children's""]","['Animation', ""Children's""]"
"Secret of Roan Inish, The (1994)","[""Children's""]",['Drama']
"Specialist, The (1994)",[],['Action']
Stargate (1994),[],"['Action', 'Adventure', 'Sci-Fi']"
"Santa Clause, The (1994)","[""Children's"", 'Comedy', 'Drama']","[""Children's"", 'Comedy', 'Fantasy']"
"Shawshank Redemption, The (1994)",[],['Drama']
Shallow Grave (1994),[],['Thriller']
Suture (1993),['Drama'],"['Film-Noir', 'Thriller']"
Strawberry and Chocolate (Fresa y chocolate) (1993),['Drama'],['Drama']
Swimming with Sharks (1995),['Drama'],"['Comedy', 'Drama']"
"Sum of Us, The (1994)",['Comedy'],['Comedy']
National Lampoon's Senior Trip (1995),['Drama'],['Comedy']
To Live (Huozhe) (1994),['Comedy'],['Drama']
Tank Girl (1995),"['Comedy', 'Drama']","['Action', 'Comedy', 'Musical', 'Sci-Fi']"
Tales From the Crypt Presents: Demon Knight (1995),['Horror'],['Horror']
Star Trek: Generations (1994),"['Action', 'Adventure', 'Sci-Fi']","['Action', 'Adventure', 'Sci-Fi']"
Tales from the Hood (1995),"['Comedy', 'Horror']","['Comedy', 'Horror']"
Tom & Viv (1994),['Drama'],['Drama']
Village of the Damned (1995),"['Horror', 'Sci-Fi', 'Thriller']","['Horror', 'Sci-Fi']"
Tommy Boy (1995),['Drama'],['Comedy']
Vanya on 42nd Street (1994),['Drama'],['Drama']
"Underneath, The (1995)",['Drama'],"['Mystery', 'Thriller']"
"Walking Dead, The (1995)",['Drama'],"['Drama', 'War']"
What's Eating Gilbert Grape (1993),['Drama'],['Drama']
Virtuosity (1995),['Drama'],"['Sci-Fi', 'Thriller']"
While You Were Sleeping (1995),"['Comedy', 'Romance']","['Comedy', 'Romance']"
"War, The (1994)",[],"['Adventure', 'Drama']"
Double Happiness (1994),[],['Drama']
Muriel's Wedding (1994),['Comedy'],"['Comedy', 'Romance']"
"Baby-Sitters Club, The (1995)",[],"[""Children's""]"
Ace Ventura: Pet Detective (1994),['Comedy'],['Comedy']
"Adventures of Priscilla, Queen of the Desert, The (1994)","['Adventure', 'Drama']","['Comedy', 'Drama']"
Backbeat (1993),['Drama'],"['Drama', 'Musical']"
Bitter Moon (1992),['Drama'],['Drama']
Bullets Over Broadway (1994),['Comedy'],['Comedy']
Clear and Present Danger (1994),[],"['Action', 'Adventure', 'Thriller']"
"Client, The (1994)",[],"['Drama', 'Mystery', 'Thriller']"
"Corrina, Corrina (1994)",[],"['Comedy', 'Drama', 'Romance']"
Crooklyn (1994),[],['Comedy']
"Crow, The (1994)","['Action', 'Thriller']","['Action', 'Romance', 'Thriller']"
Cobb (1994),[],['Drama']
"Flintstones, The (1994)",[],"[""Children's"", 'Comedy']"
Forrest Gump (1994),[],"['Comedy', 'Romance', 'War']"
Four Weddings and a Funeral (1994),[],"['Comedy', 'Romance']"
Higher Learning (1995),['Drama'],['Drama']
I Like It Like That (1994),"['Comedy', 'Romance']","['Comedy', 'Drama', 'Romance']"
I Love Trouble (1994),"['Comedy', 'Romance']","['Action', 'Comedy']"
It Could Happen to You (1994),"['Comedy', 'Romance']","['Drama', 'Romance']"
"Jungle Book, The (1994)","[""Children's"", 'Romance']","['Adventure', ""Children's"", 'Romance']"
"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",['Drama'],['Documentary']
"Lion King, The (1994)","[""Children's""]","['Animation', ""Children's"", 'Musical']"
Little Buddha (1993),"[""Children's"", 'Drama']",['Drama']
Wes Craven's New Nightmare (1994),"['Comedy', 'Horror']",['Horror']
"Mask, The (1994)","['Action', 'Comedy', 'Romance']","['Comedy', 'Crime', 'Fantasy']"
Maverick (1994),[],"['Action', 'Comedy', 'Western']"
Mrs. Parker and the Vicious Circle (1994),['Drama'],['Drama']
Naked Gun 33 1/3: The Final Insult (1994),['Comedy'],['Comedy']
"Paper, The (1994)",[],"['Comedy', 'Drama']"
Reality Bites (1994),[],"['Comedy', 'Drama']"
Red Rock West (1992),[],['Thriller']
Richie Rich (1994),[],"[""Children's"", 'Comedy']"
Safe Passage (1994),[],['Drama']
"River Wild, The (1994)",[],"['Action', 'Thriller']"
Speed (1994),"['Action', 'Romance', 'Thriller']","['Action', 'Romance', 'Thriller']"
Speechless (1994),[],"['Comedy', 'Romance']"
Timecop (1994),[],"['Action', 'Sci-Fi']"
True Lies (1994),"['Action', 'Adventure']","['Action', 'Adventure', 'Comedy', 'Romance']"
When a Man Loves a Woman (1994),['Drama'],['Drama']
Wolf (1994),"['Drama', 'Horror']","['Drama', 'Horror']"
Wyatt Earp (1994),[],['Western']
Bad Company (1995),[],['Action']
"Man of No Importance, A (1994)",['Drama'],['Drama']
S.F.W. (1994),[],['Drama']
"Low Down Dirty Shame, A (1994)",['Action'],"['Action', 'Comedy']"
Boys Life (1995),['Drama'],['Drama']
"Colonel Chabert, Le (1994)",['Drama'],"['Drama', 'Romance', 'War']"
Faster Pussycat! Kill! Kill! (1965),['Action'],"['Action', 'Comedy', 'Drama']"
Jason's Lyric (1994),"['Crime', 'Drama']","['Crime', 'Drama']"
"Secret Adventures of Tom Thumb, The (1993)","['Adventure', ""Children's""]","['Adventure', ""Children's""]"
Street Fighter (1994),['Drama'],['Action']
Coldblooded (1995),['Drama'],['Action']
Desert Winds (1995),['Drama'],['Drama']
Fall Time (1995),[],['Drama']
"Fear, The (1995)",['Thriller'],['Horror']
Frank and Ollie (1995),[],['Documentary']
Girl in the Cadillac (1995),['Comedy'],['Drama']
Homage (1995),['Drama'],['Drama']
Mirage (1995),['Drama'],"['Action', 'Thriller']"
Open Season (1996),['Comedy'],['Comedy']
Two Crimes (1995),['Comedy'],"['Comedy', 'Crime', 'Drama']"
Brother Minister: The Assassination of Malcolm X (1994),['Documentary'],['Documentary']
Highlander III: The Sorcerer (1994),"['Action', 'Adventure']","['Action', 'Sci-Fi']"
Federal Hill (1994),"['Comedy', 'Romance']",['Drama']
In the Mouth of Madness (1995),['Comedy'],"['Horror', 'Thriller']"
8 Seconds (1994),['Drama'],['Drama']
Above the Rim (1994),['Drama'],['Drama']
Addams Family Values (1993),['Comedy'],['Comedy']
You So Crazy (1994),"['Comedy', 'Romance']",['Comedy']
"Age of Innocence, The (1993)",['Drama'],['Drama']
Airheads (1994),[],['Comedy']
"Air Up There, The (1994)",['Comedy'],['Comedy']
Another Stakeout (1993),"['Comedy', 'Drama', 'Thriller']","['Comedy', 'Thriller']"
Bad Girls (1994),[],['Western']
Barcelona (1994),[],"['Comedy', 'Romance']"
Being Human (1993),['Drama'],['Drama']
"Beverly Hillbillies, The (1993)",['Comedy'],['Comedy']
Beverly Hills Cop III (1994),"['Action', 'Comedy']","['Action', 'Comedy']"
Black Beauty (1994),"[""Children's""]","['Adventure', ""Children's""]"
Blink (1994),[],['Thriller']
Blown Away (1994),[],"['Action', 'Thriller']"
Blue Chips (1994),['Drama'],['Drama']
Blue Sky (1994),"['Drama', 'Romance']","['Drama', 'Romance']"
Body Snatchers (1993),"['Horror', 'Sci-Fi', 'Thriller']","['Horror', 'Sci-Fi', 'Thriller']"
Boxing Helena (1993),['Drama'],"['Mystery', 'Romance', 'Thriller']"
"Bronx Tale, A (1993)",[],['Drama']
Cabin Boy (1994),['Drama'],['Comedy']
Calendar Girl (1993),"['Comedy', 'Drama']",['Drama']
Carlito's Way (1993),['Drama'],"['Crime', 'Drama']"
City Slickers II: The Legend of Curly's Gold (1994),['Comedy'],"['Comedy', 'Western']"
Clean Slate (1994),['Comedy'],['Comedy']
Cliffhanger (1993),['Drama'],"['Action', 'Adventure', 'Crime']"
Coneheads (1993),['Drama'],"['Comedy', 'Sci-Fi']"
Color of Night (1994),"['Drama', 'Thriller']","['Drama', 'Thriller']"
Cops and Robbersons (1994),[],['Comedy']
"Cowboy Way, The (1994)","['Comedy', 'Crime', 'Drama']","['Action', 'Comedy']"
Dangerous Game (1993),['Drama'],['Drama']
Dave (1993),['Drama'],"['Comedy', 'Romance']"
Dazed and Confused (1993),[],['Comedy']
Demolition Man (1993),['Drama'],"['Action', 'Sci-Fi']"
"Endless Summer 2, The (1994)",['Documentary'],['Documentary']
